SMILES;SLC6A19_score;SLC6A20_score;source
Cc1cccc(C)c1NC(=O)[C@@H](C)[NH3+];-6.0831;-3.60824;beide
Cc1cccc(C)c1NC(=O)[C@H](C)N;-3.93781;-1.58533;beide
Cc1cccc(C)c1NC(=O)[C@H](C)[NH3+];-4.08619;-1.3733;beide
Cc1cccc(C)c1OC[C@@H](C)N;-2.39048;-3.20695;beide
Cc1cccc(C)c1OC[C@@H](C)[NH3+];-5.7239;-4.69675;beide
Cc1cccc(C)c1OC[C@H](C)N;-2.7028;-3.33175;beide
Cc1cccc(C)c1OC[C@H](C)[NH3+];-5.94505;-5.85446;beide
Cc1cn[nH]c1;-6.04855;-6.50203;beide
Cc1cnc(C(=O)[O-])c[n+]1[O-];-6.78543;-6.92867;beide
Cc1ncc(CO)c(C=O)c1O;-4.33116;-5.88356;beide
Cc1ncc(CO)c(C=O)c1[O-];-2.4619;-4.45668;beide
Cc1ncc(CO)c(CO)c1O;-4.62126;-5.68706;beide
Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O;-4.76665;-2.07458;beide
Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1[O-];-2.79837;-0.928341;beide
Cc1ncc([N+](=O)[O-])n1CCO;-6.054;-6.09053;beide
Cc1ncc([N+](=O)[O-])n1C[C@@H](O)CCl;-5.14859;-4.15275;beide
Cc1ncc([N+](=O)[O-])n1C[C@H](O)CCl;-6.06682;-5.89209;beide
Cc1ncsc1CCCl;-5.41353;-6.15929;beide
Cc1occc(=O)c1O;-5.42172;-6.50366;beide
Cc1occc(=O)c1[O-];-2.29129;-4.65754;beide
ClC(Cl)Cl;-4.20683;-3.85295;beide
Cn1c(=O)c2[nH]cnc2n(C)c1=O;-5.61242;-9.15862;beide
Cn1c(=O)c2c(ncn2C)n(C)c1=O;-5.0827;-5.86847;beide
Cn1c(=O)c2nc[nH]c2n(C)c1=O;-2.90822;-5.21268;beide
Cn1c2ncnc-2c([O-])n(C)c1=O;-2.92272;-3.83402;beide
Cn1cc[nH]c1=S;-5.94152;-6.60932;beide
Cn1cnc2c1c(=O)[nH]c(=O)n2C;-6.32111;-6.94029;beide
Cn1nnc2c(C(N)=O)ncn2c1=O;-6.47555;-5.849;beide
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;-5.74623;-5.05606;beide
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;-5.87031;-5.83551;beide
FC(F)(F)[C@@H](Cl)Br;-4.45276;-5.38291;beide
FC(F)(F)[C@H](Cl)Br;-5.3327;-5.25964;beide
FC(F)OC(F)(F)[C@@H](F)Cl;-5.87779;-5.71239;beide
FC(F)OC(F)(F)[C@H](F)Cl;-5.73492;-5.86674;beide
FC(F)O[C@@H](Cl)C(F)(F)F;-5.76619;-5.41903;beide
FC(F)O[C@@H](F)C(F)(F)F;-5.59865;-5.70859;beide
FC(F)O[C@H](Cl)C(F)(F)F;-6.22948;-5.72833;beide
FC(F)O[C@H](F)C(F)(F)F;-5.94851;-5.21561;beide
FCOC(C(F)(F)F)C(F)(F)F;-5.47997;-6.52985;beide
FS(F)(F)(F)(F)F;-4.49775;-4.40914;beide
IC(I)I;-3.23256;-3.70347;beide
II;-2.84079;-2.77755;beide
Ic1[n-]c(I)c(I)c1I;-1.52453;-2.46327;beide
Ic1[nH]c(I)c(I)c1I;-3.14418;-2.65594;beide
N#N;-2.65038;-2.63308;beide
NC(=O)CC[C@H]([NH3+])C(=O)[O-];-6.60087;-6.29319;beide
NC(=O)CN1CCCC1=O;-7.30995;-6.74691;beide
NC(=O)CN1C[C@@H](O)CC1=O;-7.71617;-7.2768;beide
NC(=O)CN1C[C@H](O)CC1=O;-7.96013;-7.15592;beide
NC(=O)NC(=O)Cc1ccccc1;-8.46626;-4.61108;beide
NC(=O)NCCC[C@H]([NH3+])C(=O)[O-];-7.43934;-5.64728;beide
NC(=O)NNc1ccccc1;-7.03126;-8.02696;beide
NC(=O)NO;-6.69561;-5.48026;beide
NC(=O)NS(=O)(=O)c1ccc(N)cc1;-2.32023;-3.24212;beide
NC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-];-5.26501;-5.46822;beide
NC(=O)N[O-];-1.80817;-1.43978;beide
NC(=O)OC[C@@H](O)c1ccccc1Cl;-7.33901;-5.59382;beide
NC(=O)[N-]S(=O)(=O)c1ccc(N)cc1;-3.26465;-4.28952;beide
NC(=O)c1ccc(I)c([N+](=O)[O-])c1;-6.13791;-6.16877;beide
NC(=O)c1cccnc1;-7.13117;-7.82229;beide
NC(=O)c1cnccn1;-6.57212;-6.66943;beide
NC(=O)c1nc(F)c[n-]c1=O;-6.36113;-6.08555;beide
NC(=O)c1nc(F)c[nH]c1=O;-5.33298;-4.89658;beide
NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-];-4.52901;-4.9266;beide
NC(=[NH2+])NCc1cccc(F)c1;-5.7927;-6.4159;beide
NC(=[NH2+])NCc1cccc(I)c1;-5.12165;-3.21984;beide
NC(CO)(CO)CO;-3.13137;-3.58749;beide
NC(N)=NC(=[NH2+])NCCc1ccccc1;-5.22599;-5.32023;beide
NC(N)=NS(=O)(=O)c1ccc(N)cc1;-4.76144;-4.25186;beide
NC(N)=O;-5.19107;-4.95176;beide
NC(N)=[NH2+];-4.38027;-4.83833;beide
NC1=NC(=O)[C@@H](c2ccccc2)O1;-7.01076;-6.6656;beide
NC1=NC(=O)[C@H](c2ccccc2)O1;-6.66946;-6.5097;beide
NC1=NC[C@@H](c2ccccc2)O1;-4.44943;-4.6703;beide
NC1=NC[C@H](c2ccccc2)O1;-4.3986;-4.42185;beide
NC1=[NH+]C[C@@H](c2ccccc2)O1;-7.06072;-5.45522;beide
NC1=[NH+]C[C@H](c2ccccc2)O1;-6.64376;-5.56885;beide
NCC(=O)CCC(=O)[O-];-3.89361;-4.22541;beide
NCCS;-2.59878;-2.87661;beide
NCC[NH2+]CCNCC[NH3+];-4.93697;-2.34957;beide
NCC[NH3+];-3.78032;-2.60259;beide
NC[C@H](O)c1ccc(O)c(O)c1;-5.46939;-4.41062;beide
NCc1ccc(S(N)(=O)=O)cc1;-5.60531;-4.0508;beide
NNC(=O)c1ccncc1;-7.63819;-9.01799;beide
NNCCc1ccccc1;-5.31359;-5.2983;beide
NNc1[nH+]ncc2ccccc12;-6.63831;-6.6504;beide
NNc1n[nH+]cc2ccccc12;-3.72252;-3.51189;beide
NNc1nncc2ccccc12;-6.46223;-6.57438;beide
NS(=O)(=O)Cc1noc2ccccc12;-7.20396;-7.47083;beide
NS(=O)(=O)c1ccc(C[NH3+])cc1;-8.89989;-5.94095;beide
N[C@@H](CSCC(=O)[O-])C(=O)[O-];-2.28576;-2.11864;beide
N[C@@H]1CONC1=O;-6.10507;-5.83146;beide
N[C@@H]1C[C@H]1c1ccccc1;-4.59629;-3.85932;beide
N[C@@](CCC[NH3+])(C(=O)[O-])C(F)F;-7.02401;-6.29462;beide
N[C@](CCC[NH3+])(C(=O)[O-])C(F)F;-7.46998;-6.92354;beide
N[NH2+]CCc1ccccc1;-6.15223;-5.66929;beide
Nc1cc[nH+]cc1;-7.67418;-6.55801;beide
Nc1cc[nH+]cc1N;-7.82145;-6.98487;beide
Nc1ccc(C(=O)NCC(=O)[O-])cc1;-6.24012;-4.33329;beide
Nc1ccc(C(=O)[O-])c(O)c1;-6.57475;-7.12336;beide
Nc1ccc(O)c(C(=O)[O-])c1;-6.18424;-6.07695;beide
Nc1ccc(S(N)(=O)=O)cc1;-7.77225;-6.50491;beide
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1;-7.38625;-5.79086;beide
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1;-5.76371;-3.72626;beide
Nc1ccn([C@H]2CO[C@@H](CO)S2)c(=O)n1;-5.51501;-6.61102;beide
Nc1n[n+](=O)c2ccccc2n1[O-];-6.06617;-5.60407;beide
Nc1nc(=O)[nH]cc1F;-6.80641;-7.31809;beide
Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c[nH+]1;-4.52078;-4.0934;beide
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)c[nH+]1;-5.02978;-4.41036;beide
Nc1nc2[nH]cnc2c(=O)[nH]1;-5.83055;-8.93357;beide
Nc1nc2[nH]cnc2c(=S)[nH]1;-5.00646;-8.70891;beide
Nc1nc2c(ncn2COCCO)c(=O)[nH]1;-4.13095;-7.10366;beide
Nc1nc2nc[nH]c2c(=O)[nH]1;-4.82033;-7.24294;beide
Nc1nc2nc[nH]c2c(=S)[nH]1;-4.20742;-8.1919;beide
Nc1ncnc2[nH]cnc12;-6.34826;-7.31524;beide
Nc1ncnc2nc[nH]c12;-5.1442;-6.28252;beide
O;-3.86124;-4.03243;beide
O=C(CBr)N1CC([N+](=O)[O-])([N+](=O)[O-])C1;-4.71004;-3.78391;beide
O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO;-5.42471;-5.67326;beide
O=C(O)O;-4.38538;-4.16397;beide
O=C([O-])C(Cl)(Cl)Cl;-3.89072;-4.92959;beide
O=C([O-])C(Cl)Cl;-3.20392;-4.34654;beide
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-];-4.77278;-5.18567;beide
O=C([O-])CCC(=O)[O-];-3.93381;-4.7572;beide
O=C([O-])CCCCCCCC(=O)O;1.10859;2.44427;beide
O=C([O-])CCCC[C@H]1CCSS1;-5.89005;-3.40208;beide
O=C([O-])CCCO;-3.59253;-4.16099;beide
O=C([O-])CCCc1ccccc1;-6.693;-5.54121;beide
O=C([O-])Cc1ccccc1;-6.32022;-6.39781;beide
O=C([O-])O;-1.64683;-1.52545;beide
O=C([O-])P(=O)([O-])O;-4.94827;-5.20044;beide
O=C([O-])P(=O)([O-])[O-];-0.936715;-0.671889;beide
O=C([O-])[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-6.41255;-5.33555;beide
O=C([O-])[C@@H](S)[C@@H](S)C(=O)[O-];-4.53454;-6.15195;beide
O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-];-4.36684;-6.06194;beide
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-6.67066;-4.51502;beide
O=C([O-])[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-6.7407;-5.37927;beide
O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21;-4.04318;-6.51122;beide
O=C([O-])[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O;-6.37338;-6.74007;beide
O=C([O-])c1[nH]c(=O)[n-]c(=O)[nH+]1;-5.00645;-5.67302;beide
O=C([O-])c1[nH]c(=O)[nH]c(=O)[nH+]1;-4.7715;-5.38761;beide
O=C([O-])c1ccc[nH+]c1;-4.34449;-4.19599;beide
O=C([O-])c1ccccc1;-5.39806;-5.68423;beide
O=C([O-])c1ccccc1O;-5.75864;-6.25605;beide
O=C([O-])c1cccnc1;-5.45782;-6.51034;beide
O=C([O-])c1cncc(F)c1;-5.4783;-6.92314;beide
O=C([O-])c1nc(=O)[n-]c(=O)[nH]1;-1.95132;-4.00032;beide
O=C([O-])c1nc(=O)[nH]c(=O)[n-]1;-4.86799;-5.77962;beide
O=C([O-])c1nc(=O)[nH]c(=O)[nH]1;-3.62026;-4.92697;beide
O=C1C(O)=C([O-])O[C@@H]1[C@@H](O)CO;-6.05904;-6.03683;beide
O=C1CCO1;-4.72685;-5.24152;beide
O=C1CSC(=O)N1;-5.87526;-7.18542;beide
O=C1CSC(=O)[N-]1;-4.02804;-6.70285;beide
O=C1NCC(=O)N2CCC[C@@H]12;-5.36943;-5.64104;beide
O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F;-6.20552;-5.19036;beide
O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;-6.88268;-7.03326;beide
O=C1[N-]S(=O)(=O)c2ccccc21;-5.36857;-5.54487;beide
O=C=O;-3.2963;-3.2565;beide
O=CN(O)CCCP(=O)([O-])O;-5.58969;-4.13158;beide
O=CN(O)CCCP(=O)([O-])[O-];-3.64818;-2.40668;beide
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO;-5.78223;-6.5243;beide
O=C[C@H](O)[C@@H](O)[C@H](O)CO;-6.00516;-6.24562;beide
O=NN(CCCl)C(=O)NCCCl;-5.48809;-3.87049;beide
O=NO;0.0685235;-0.0302851;beide
O=O;-2.75555;-2.63149;beide
O=P([O-])(NCCCl)NCCCl;-3.4831;-2.9939;beide
O=P([O-])(O)C(O)(Cn1cc[nH+]c1)P(=O)([O-])O;-6.47161;-3.7108;beide
O=P([O-])(O)C(O)(Cn1ccnc1)P(=O)([O-])O;-4.59284;-2.88933;beide
O=P([O-])(O)CP(=O)([O-])O;-4.49378;-4.66683;beide
O=P([O-])(O)F;-1.42684;-1.94758;beide
O=P([O-])(O)O;-3.76329;-3.49952;beide
O=P([O-])(O)OCC(Cl)(Cl)Cl;-4.38031;-3.17737;beide
O=P([O-])(O)OP(=O)([O-])OP(=O)([O-])O;-0.897726;-0.997576;beide
O=P([O-])([O-])C(Cl)(Cl)P(=O)([O-])O;-2.73552;-4.69938;beide
O=P([O-])([O-])CP(=O)([O-])O;-3.87887;-4.45964;beide
O=P([O-])([O-])F;-4.23859;-4.20262;beide
O=P([O-])([O-])O;-2.94386;-2.78759;beide
O=P([O-])([O-])OCC(Cl)(Cl)Cl;-5.16007;-4.58117;beide
O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])O;-1.25731;-1.90771;beide
O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-];-1.32759;-2.07051;beide
O=P([O-])([O-])[C@@](O)(Cn1cc[nH+]c1)P(=O)([O-])O;-6.43987;-4.02401;beide
O=P([O-])([O-])[C@@](O)(Cn1ccnc1)P(=O)([O-])O;-4.48529;-2.94295;beide
O=P([O-])([O-])[C@](O)(Cn1cc[nH+]c1)P(=O)([O-])O;-6.91622;-4.16517;beide
O=P([O-])([O-])[C@](O)(Cn1ccnc1)P(=O)([O-])O;-3.0816;-2.94419;beide
O=S(=O)([O-])CCCS(=O)(=O)[O-];-4.38595;-4.22408;beide
O=S(=O)([O-])CCS;-4.98363;-5.09789;beide
O=S(=O)([O-])CI;-3.84629;-5.0694;beide
O=S(=O)([O-])[O-];-3.84598;-3.88702;beide
O=S(=O)([O-])c1cc(O)ccc1O;-6.31042;-6.80148;beide
O=[N+]([O-])O;-1.39959;-1.36568;beide
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O;-5.80314;-5.15543;beide
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-];-4.97464;-4.13753;beide
O=[N+]([O-])[O-];-2.72832;-3.36436;beide
O=[N+]([O-])c1ccc([O-])c2ncccc12;-4.655;-4.51993;beide
O=[N+]([O-])c1cncn1CCN1CCOCC1;-3.7947;-3.53924;beide
O=[N+]([O-])c1cncn1CC[NH+]1CCOCC1;-6.3337;-3.19855;beide
O=[O+][O-];-5.27193;-5.14986;beide
O=[P@@]1(N(CCCl)CCCl)NCCCO1;-3.28564;-3.51346;beide
O=[P@@]1(NCCCl)OCCCN1CCCl;-4.24305;-4.72492;beide
O=[P@]1(N(CCCl)CCCl)NCCCO1;-4.13928;-3.61233;beide
O=[P@]1(NCCCl)OCCCN1CCCl;-4.6171;-3.83443;beide
O=[Si](O)O[Si](O)(O)O[Si](=O)O;-4.89075;-5.37807;beide
O=[Si]=O;-3.84238;-4.65584;beide
O=c1[n-]c(=O)n([C@@H]2CCCO2)cc1F;-4.64716;-4.91298;beide
O=c1[n-]c(=O)n([C@H]2CCCO2)cc1F;-5.17448;-4.92165;beide
O=c1[n-]c2cc(Cl)ccc2o1;-4.64887;-4.37485;beide
O=c1[n-]cc(F)c(=O)[nH]1;-5.48403;-6.3669;beide
O=c1[n-]cnc2[nH]ncc12;-2.28206;-4.17006;beide
O=c1[n-]oc2c1CCNC2;-2.84595;-4.06589;beide
O=c1[n-]oc2c1CC[NH2+]C2;-6.13789;-6.70845;beide
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F;-6.75983;-5.98093;beide
O=c1[nH]c(=O)n([C@H]2CCCO2)cc1F;-6.70919;-6.42566;beide
O=c1[nH]c2cc(Cl)ccc2o1;-7.03373;-6.41108;beide
O=c1[nH]cc(F)c(=O)[nH]1;-6.13906;-6.98517;beide
O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1;-5.85895;-3.93085;beide
O=c1[nH]cnc2[nH]ncc12;-6.01695;-7.10048;beide
O=c1cc([O-])c(Cl)c[nH]1;-5.41599;-6.83247;beide
O=c1cc[n-]c(=O)[nH]1;-3.65873;-4.77997;beide
O=c1cc[nH]c(=O)[nH]1;-5.86437;-7.22158;beide
O=c1ccc2ccccc2o1;-6.98073;-7.07374;beide
OB(O)O;-4.7906;-4.677;beide
OB1OCc2cc(F)ccc21;-7.20398;-7.29021;beide
OC(O)C(Cl)(Cl)Cl;-6.18434;-6.14766;beide
OCC(O)CO;-2.57616;-3.50766;beide
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO;-4.24506;-4.15413;beide
OCCNCCO;-0.129312;-0.0895759;beide
OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO;-6.42752;-6.04239;beide
OCC[N@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO;-7.28843;-6.44431;beide
OCC[NH2+]CCO;-3.59539;-2.51792;beide
OCCc1ccc(O)c(O)c1;-5.81045;-6.57869;beide
OC[C@@H](O)C(O)[C@@H](O)CO;-5.44182;-5.11902;beide
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-6.2953;-5.76747;beide
OC[C@@H](S)CS;-4.73396;-5.24165;beide
OC[C@@H]([S-])CS;-0.865846;-1.41283;beide
OC[C@@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O;-6.66289;-6.62282;beide
OC[C@@H]1O[C@@H](O)C[C@@H](O)[C@H]1O;-6.62612;-6.20277;beide
OC[C@@H]1O[C@@H](O)C[C@H](O)[C@H]1O;-6.19666;-6.26995;beide
OC[C@@H]1O[C@H](O)C[C@@H](O)[C@H]1O;-6.47415;-6.30468;beide
OC[C@@H]1O[C@H](O)C[C@H](O)[C@H]1O;-5.98429;-6.46454;beide
OC[C@H](S)CS;-4.35967;-4.55878;beide
OC[C@H]([S-])CS;-0.321787;-1.64394;beide
OC[C@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O;-6.43555;-6.50986;beide
OC[C@H]1O[C@@H](O)C[C@@H](O)[C@H]1O;-5.55144;-6.49075;beide
OC[C@H]1O[C@@H](O)C[C@H](O)[C@H]1O;-6.71503;-7.41856;beide
OC[C@H]1O[C@@H](O)[C@H](F)[C@@H](O)[C@@H]1O;-6.68396;-6.25582;beide
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O;-6.72362;-6.78959;beide
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O;-6.3926;-6.50254;beide
OC[C@H]1O[C@H](O)C[C@H](O)[C@H]1O;-6.88774;-6.88348;beide
OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O;-7.05044;-6.32574;beide
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O;-5.91228;-6.93194;beide
OC[C@H]1[NH2+]C[C@H](O)[C@@H](O)[C@H]1O;-8.22045;-7.79;beide
OCc1ccccc1;-6.78333;-6.75348;beide
OCl;-3.51126;-3.75746;beide
OO;1.34617;1.59467;beide
O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O;-6.7738;-6.68696;beide
O[C@H]([C@H](O)[C@@H](O)CBr)[C@H](O)CBr;-5.90096;-3.76053;beide
O[C@H]([C@H](O)[C@@H]1CO1)[C@H]1CO1;-5.8136;-5.8959;beide
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O;-7.46083;-7.18726;beide
Oc1ccc(O)cc1;-5.91196;-6.59101;beide
Oc1ccccc1;-6.34043;-6.38572;beide
Oc1noc2c1CCNC2;-5.65543;-5.45348;beide
Oc1noc2c1CC[NH2+]C2;-5.54738;-5.81957;beide
S=c1[nH]cnc2[nH]cnc12;-5.97623;-5.84396;beide
S=c1[nH]cnc2nc[nH]c12;-5.60448;-7.94507;beide
[C-]#[O+];-2.94252;-2.93766;beide
[H]/N=C(/N=C(N)N)NCCCC;-2.28457;-2.1076;beide
[H]/N=C(/[NH2+]P(=O)([O-])[O-])N(C)CC(=O)[O-];-4.58815;-2.17484;beide
[H]/N=C(\N=C(N)N)NCCCC;-2.64691;-1.53303;beide
[H]/N=C(\[NH2+]P(=O)([O-])[O-])N(C)CC(=O)[O-];-4.12064;-2.79564;beide
[H]/N=c1/ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1;-7.91916;-6.23479;beide
[H]/N=c1/ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1;-8.08509;-7.95804;beide
[H]/N=c1\ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1;-7.04605;-5.71547;beide
[N-]=[N+]=O;-4.1099;-4.11888;beide
[NH-]/C(N)=N/S(=O)(=O)c1ccc(N)cc1;-1.4741;-1.55809;beide
[NH-]/C(N)=N\S(=O)(=O)c1ccc(N)cc1;-4.63499;-2.48134;beide
[NH-]c1n[n+](=O)c2ccccc2n1O;-7.97977;-6.90684;beide
[NH3+]C(CO)(CO)CO;-5.7836;-4.46849;beide
[NH3+]C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3;-6.26968;-6.19019;beide
[NH3+]CC(=O)CCC(=O)[O-];-5.94552;-5.48721;beide
[NH3+]CC(=O)[O-];-3.10448;-3.10873;beide
[NH3+]CC1(CC(=O)[O-])CCCCC1;-6.01918;-7.11412;beide
[NH3+]CCC(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-];-6.64374;-6.78778;beide
[NH3+]CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-];-4.71151;-5.14554;beide
[NH3+]CCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)[O-];-4.54711;-4.81635;beide
[NH3+]CCC(O)(P(=O)([O-])O)P(=O)([O-])O;-3.7468;-4.74162;beide
[NH3+]CCCC(O)(P(=O)([O-])O)P(=O)([O-])O;-3.51129;-4.52862;beide
[NH3+]CCCCCC(=O)[O-];-5.32489;-4.51841;beide
[NH3+]CCCCC[C@@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-6.02345;-3.01851;beide
[NH3+]CCCCC[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-6.03862;-3.60958;beide
[NH3+]CCCC[NH2+]CCC[NH3+];-7.11404;-4.37829;beide
[NH3+]CCCC[NH3+];-6.92741;-4.69811;beide
[NH3+]CCCS(=O)(=O)[O-];-5.54191;-5.47863;beide
[NH3+]CCC[C@@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-5.21163;-5.12345;beide
[NH3+]CCC[C@@]([NH3+])(C(=O)[O-])C(F)F;-7.04015;-5.75554;beide
[NH3+]CCC[C@H]([NH3+])C(=O)[O-];-6.79588;-5.19654;beide
[NH3+]CCC[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-5.12192;-5.65766;beide
[NH3+]CCC[C@]([NH3+])(C(=O)[O-])C(F)F;-6.91251;-6.45318;beide
[NH3+]CCC[NH2+]CCSP(=O)([O-])O;-4.59118;-0.875235;beide
[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-];-8.16922;-3.30925;beide
[NH3+]CCNCCNCC[NH3+];-4.44827;-3.49627;beide
[NH3+]CCNCC[NH2+]CC[NH3+];-6.66759;-5.1205;beide
[NH3+]CCS;-5.52287;-5.71974;beide
[NH3+]CCS(=O)(=O)[O-];-5.80777;-5.8672;beide
[NH3+]CC[C@@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-3.4693;-5.9315;beide
[NH3+]CC[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O;-3.73492;-6.15779;beide
[NH3+]CC[NH3+];-4.57163;-2.44734;beide
[NH3+]CC[S-];-0.810513;-0.972167;beide
[NH3+]CCc1c[nH]c2ccc(O)cc12;-8.62715;-6.34253;beide
[NH3+]CCc1c[nH]c[nH+]1;-7.70961;-5.59664;beide
[NH3+]CCc1c[nH]cn1;-7.02473;-6.52756;beide
[NH3+]CCc1cc[nH]n1;-7.21989;-6.67073;beide
[NH3+]CCc1ccc(O)c(O)c1;-8.0265;-6.8061;beide
[NH3+]CCc1ccc(O)cc1;-7.91157;-7.31145;beide
[NH3+]CCc1ccn[nH]1;-6.99529;-7.73689;beide
[NH3+]CCc1cnc[nH]1;-7.59785;-7.25968;beide
[NH3+]C[C@@H](CC(=O)[O-])c1ccc(Cl)cc1;-7.13391;-5.14299;beide
[NH3+]C[C@@]1(CC(=O)[O-])[C@@H]2CC[C@H]3C[C@@H]2[C@@H]1C3;-6.27122;-4.79072;beide
[NH3+]C[C@H](O)c1ccc(O)c(O)c1;-9.48344;-8.15909;beide
[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1;-8.30181;-6.42234;beide
[NH3+]NCCc1ccccc1;-7.17896;-6.70804;beide
[NH3+][C@@H](CC(=O)[O-])C(=O)[O-];-4.95037;-5.59101;beide
[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-];-5.1731;-4.75837;beide
[NH3+][C@@H](CO)C(=O)[O-];-4.53337;-5.12157;beide
[NH3+][C@@H](CS)C(=O)[O-];-5.26101;-5.41774;beide
[NH3+][C@@H](CSCC(=O)[O-])C(=O)[O-];-5.58255;-5.3281;beide
[NH3+][C@@H](C[S-])C(=O)[O-];-2.54508;-3.19631;beide
[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-];-9.05912;-5.08634;beide
[NH3+][C@@H](Cc1cc(O)c(O)cc1F)C(=O)[O-];-7.3538;-5.32953;beide
[NH3+][C@@H](Cc1cc(O)c([O-])cc1F)C(=O)[O-];-3.54987;-3.02059;beide
[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-];-6.83943;-4.2539;beide
[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-];-7.40743;-5.86532;beide
[NH3+][C@@H](Cc1ccccc1)C(=O)[O-];-7.435;-6.21399;beide
[NH3+][C@@H]1CONC1=O;-6.71725;-6.64274;beide
[NH3+][C@@H]1C[C@H]1c1ccccc1;-7.40473;-6.54393;beide
[NH3+][C@H](C(=O)[O-])[C@H](O)c1ccc(O)c(O)c1;-6.6468;-5.33823;beide
[NH3+][C@H](CO)C(=O)[O-];-4.65181;-4.97409;beide
[NH3+][C@]1(C(=O)[O-])C[C@@H](F)C1;-6.53934;-6.27953;beide
[NH4+];-4.23492;-3.791;beide
[O-][Cl+3]([O-])([O-])[O-];-3.8848;-3.45911;beide
[O-]n1ccccc1=S;-5.27029;-6.72694;beide
[S-]c1ncnc2[nH]cnc12;-3.87792;-4.17472;beide
[S-]c1ncnc2nc[nH]c12;-4.28097;-5.68895;beide
[SiH4];-3.11937;-3.22286;beide
c1cc[nH]c1;-5.79015;-5.84197;beide
c1ccc(CC2=[NH+]CCN2)cc1;-6.00287;-5.47122;beide
c1ccc2c(c1)OC[C@@H](C1=[NH+]CCN1)O2;-6.37696;-5.14269;beide
c1ccc2c(c1)OC[C@H](C1=[NH+]CCN1)O2;-6.6408;-5.74853;beide
