SMILES;SLC6A19_score;SLC6A20_score;source
CC(C)OP(=O)(F)OC(C)C;-4.30854;-2.84717;beide
CC(C)[C@@H](Br)C(=O)NC(N)=O;-6.40825;-5.73451;beide
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O;-7.6308;-6.87936;beide
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O;-6.80973;-5.89747;beide
CC(C)[C@@H]1CC[C@H](C)C[C@@H]1O;-7.65024;-6.00068;beide
CC(C)[C@@H]1CC[C@H](C)C[C@H]1O;-6.46722;-6.45529;beide
CC(C)[C@H](Br)C(=O)NC(N)=O;-6.82573;-6.50013;beide
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O;-5.65015;-4.32366;beide
CC(C)[C@H](N)C(=O)NCCCS(=O)(=O)[O-];-4.31345;-1.62114;beide
CC(C)[C@H]([NH3+])C(=O)NCCCS(=O)(=O)[O-];-7.49349;-2.30058;beide
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1O;-6.56094;-6.37419;beide
CC(C)[C@H]1CC[C@@H](C)C[C@H]1O;-6.84078;-6.72158;beide
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O;-7.31397;-6.66613;beide
CC(C)[C@H]1CC[C@H](C)C[C@H]1O;-6.98367;-5.29311;beide
CC(C)[NH2+]C[C@H](O)c1cc([O-])cc(O)c1;-4.20115;-3.9283;beide
CC(C)[NH2+]C[C@H](O)c1ccc(O)c(O)c1;-7.65452;-4.50508;beide
CC(C)c1cccc(C(C)C)c1O;-5.51258;-4.80726;beide
CC(Cl)(Cl)Cl;-4.08083;-4.66504;beide
CC(O)(P(=O)([O-])O)P(=O)([O-])O;-3.11481;-5.51816;beide
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2;-4.75166;-6.13761;beide
CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2;-6.45747;-6.39272;beide
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2;-5.88774;-7.50358;beide
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2;-5.41796;-6.17657;beide
CC1(C)[C@H]2CC[C@]1(C)[C@@H](O)C2;-5.04855;-6.3189;beide
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2;-5.90651;-6.50018;beide
CC1=CC(=O)[N-]S(=O)(=O)O1;-4.8672;-6.128;beide
CC1=NN(c2ccccc2)C(=O)C1;-5.51302;-4.45022;beide
CCC1(CC)C(=O)NC(=O)N(C)C1=O;-7.21999;-6.0463;beide
CCC1(CC)C(=O)NC[C@@H](C)C1=O;-7.07896;-6.89381;beide
CCC1(CC)C(=O)NC[C@H](C)C1=O;-7.18296;-6.35643;beide
CCC1(CC)C(=O)[N-]C(=O)N(C)C1=O;-3.71358;-4.94955;beide
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O;-5.20294;-6.50913;beide
CCCC(C)(COC(N)=O)COC(N)=O;-5.46047;-1.97905;beide
CCCC(CCC)C(=O)[O-];-3.41845;-4.58364;beide
CCCC/[NH+]=C(\N)N=C(N)N;-5.1611;-4.72749;beide
CCCCCC/[NH+]=C(\N)N=C(N)N;-3.58217;-3.97494;beide
CCCCCCc1ccc(O)cc1O;-6.42156;-4.72078;beide
CCCC[C@@H]1OC(=O)c2ccccc21;-5.04496;-5.22919;beide
CCCC[C@H]1OC(=O)c2ccccc21;-5.2761;-5.39471;beide
CCCC[N@@H+]1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO;-7.09757;-5.56793;beide
CCCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO;-7.53452;-5.98929;beide
CCCC[N@H+]1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO;-7.13935;-4.3431;beide
CCC[C@@H](C)C[C@H]([NH3+])CC(=O)[O-];-5.8278;-4.10503;beide
CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1;-6.16439;-6.32502;beide
CCC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O;-4.31184;-5.88888;beide
CCC[C@H](C)[C@]1(CC)C(=O)[N-]C(=O)NC1=O;-2.54085;-5.17351;beide
CCC[C@H](C)[C@]1(CC)C(=O)[N-]C(=S)NC1=O;-2.98182;-1.95607;beide
CCC[NH2+][C@@H]1CCc2nc(N)sc2C1;-5.54316;-5.26481;beide
CCC[NH2+][C@H]1CCc2nc(N)sc2C1;-6.55249;-5.84784;beide
CCCc1cc(=O)[nH]c(=S)[nH]1;-7.90421;-6.57748;beide
CCCc1cc(C(N)=S)ccn1;-5.85349;-7.67648;beide
CCCc1cc([O-])[nH]c(=S)n1;-5.57929;-4.71497;beide
CCN(CC)C(=O)N1CCN(C)CC1;-5.05957;-4.2143;beide
CCN(CC)C(=O)N1CC[NH+](C)CC1;-4.69232;-3.49897;beide
CCNC(=O)CC[C@H]([NH3+])C(=O)[O-];-5.46004;-5.60223;beide
CCO;-0.858833;-0.713108;beide
CCOC(=O)c1ccc(N)cc1;-4.73263;-2.39654;beide
CCOC(N)=O;-6.2589;-6.11604;beide
CCOc1ccc(NC(C)=O)cc1;-7.10631;-3.71066;beide
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C;-5.79875;-4.57637;beide
CC[C@@H](C(N)=O)N1CCCC1=O;-7.00132;-6.96902;beide
CC[C@@H](C(N)=O)N1C[C@H](C=C(F)F)CC1=O;-5.85324;-6.72522;beide
CC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O;-5.55986;-5.33934;beide
CC[C@@H](C)[C@@H](CC)C(N)=O;-6.04387;-7.13073;beide
CC[C@@H](C)[C@@]1(CC)C(=O)[N-]C(=O)NC1=O;-4.36482;-2.06979;beide
CC[C@@H](C)[C@H](CC)C(N)=O;-6.11396;-5.69265;beide
CC[C@@H](C)[C@]1(CC)C(=O)[N-]C(=O)NC1=O;-3.30313;-4.15212;beide
CC[C@@H]1C(=O)OC[C@@H]1Cc1c[nH+]cn1C;-7.47571;-4.93063;beide
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C;-5.58822;-3.90297;beide
CC[C@@]1(C)CC(=O)NC1=O;-7.37306;-7.87554;beide
CC[C@@]1(C)OC(=O)N(C)C1=O;-6.46537;-6.36025;beide
CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O;-6.21495;-5.51424;beide
CC[C@H](C(N)=O)[C@@H](C)CC;-5.75852;-6.75995;beide
CC[C@H](C)[C@@H](CC)C(N)=O;-6.06167;-6.73485;beide
CC[C@H](C)[C@@]1(CC)C(=O)[N-]C(=O)NC1=O;-1.44435;-3.45212;beide
CC[C@H](C)[C@]1(CC)C(=O)[N-]C(=O)NC1=O;-3.55535;-4.25974;beide
CC[C@]1(C)CC(=O)NC1=O;-7.17957;-7.17312;beide
CC[C@]1(C)OC(=O)N(C)C1=O;-6.65004;-7.28548;beide
CC[C@]1(CCC(C)C)C(=O)[N-]C(=O)NC1=O;-4.04687;-3.90008;beide
CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O;-6.93393;-5.85338;beide
CC[C@]1(c2ccccc2)CCC(=O)NC1=O;-5.8413;-4.67593;beide
CC[N+](C)(C)Cc1ccccc1Br;-5.96778;-3.75355;beide
CC[N+](C)(C)c1cccc(O)c1;-7.99308;-5.72292;beide
CC[N+](C)(C)c1cccc([O-])c1;-6.31593;-4.30871;beide
CC[NH2+]CC;-6.30797;-4.96797;beide
CCc1[nH+]c(C)ccc1O;-6.26861;-4.87033;beide
CCc1[nH+]c(C)ccc1[O-];-6.29603;-5.99349;beide
CCc1cc(C(N)=S)ccn1;-6.7223;-6.72923;beide
CCc1nc(C)ccc1O;-5.55703;-6.35774;beide
CN(C)/C(N)=N/C(N)=[NH2+];-3.38767;-3.82635;beide
CN(C)/N=N/c1[nH]cnc1C(N)=O;-3.89747;-5.20776;beide
CN(C)/N=N/c1nc[nH]c1C(N)=O;-2.88424;-4.16439;beide
CN(C)C(=O)Oc1ccc[n+](C)c1;-5.63419;0.807032;beide
CN(C)C(=[NH2+])N=C(N)N;-4.44247;-4.49443;beide
CN(CC(=O)[O-])C(=[NH2+])NP(=O)([O-])O;-2.12651;-0.446284;beide
CN(CC(=O)[O-])C(=[NH2+])NP(=O)([O-])[O-];-4.44149;-2.4944;beide
CN(CC(=O)[O-])C(=[NH2+])[NH2+]P(=O)([O-])[O-];-3.20964;-1.09043;beide
CN(CC(=O)[O-])C(N)=[NH2+];-3.51631;-3.72643;beide
CN(CCCl)CCCl;-4.92641;-4.41821;beide
CN(CCOP(=O)([O-])O)C(N)=[NH2+];-4.06665;-1.58299;beide
CN(CCOP(=O)([O-])[O-])C(N)=[NH2+];-4.6235;-3.68887;beide
CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO;-1.94092;-1.30772;beide
CN/C(NCc1ccccc1)=[NH+]\C;-4.59782;-4.45337;beide
CN1C(=O)OC(C)(C)C1=O;-6.26357;-7.15301;beide
CN1CC(=O)N=C1N;-5.86814;-6.11211;beide
CN1CCC[C@H]1c1cccnc1;-3.35163;-2.04366;beide
CNC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-];-2.43516;-0.835941;beide
CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-3.24489;-1.48847;beide
CNC[C@H](O)c1ccc(O)c(O)c1;-5.87407;-4.19674;beide
CNC[C@H](O)c1cccc(O)c1;-4.25445;-3.50678;beide
CN[C@@H](C)[C@@H](O)c1ccccc1;-5.07545;-4.2654;beide
CN[C@@H](C)[C@H](O)c1ccccc1;-4.67749;-4.19438;beide
